run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].lteNic.phy.pStep,100,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].lteNic.phy.thresholdRSSI,10,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].ueTxPower,23,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].lteNic.phy.d2dTxPower,23,,,
CAM-0-20221110-07:01:48-17005,param,,,**.usePreconfiguredTxParams,true,,,
CAM-0-20221110-07:01:48-17005,param,,,**.lteNic.mac.txConfig,"xmldoc(""sidelink_configuration.xml"")",,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].veinsmobility.x,0,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].veinsmobility.y,0,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].veinsmobility.z,0,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].veinsmobility.setHostSpeed,true,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].applType,"""Mode4CAM""",,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].appl.packetSize,190,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].appl.period,0.1s,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].appl.priority,5,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].appl.duration,1000,,,
CAM-0-20221110-07:01:48-17005,param,,,**.coreDebug,false,,,
CAM-0-20221110-07:01:48-17005,param,,,**.routingRecorder.enabled,false,,,
CAM-0-20221110-07:01:48-17005,param,,,*.playgroundSizeX,20000m,,,
CAM-0-20221110-07:01:48-17005,param,,,*.playgroundSizeY,20000m,,,
CAM-0-20221110-07:01:48-17005,param,,,*.playgroundSizeZ,50m,,,
CAM-0-20221110-07:01:48-17005,param,,,*.annotations.draw,true,,,
CAM-0-20221110-07:01:48-17005,param,,,**.channelControl.pMax,10W,,,
CAM-0-20221110-07:01:48-17005,param,,,**.channelControl.alpha,1.0,,,
CAM-0-20221110-07:01:48-17005,param,,,**.channelControl.carrierFrequency,6000e+6Hz,,,
CAM-0-20221110-07:01:48-17005,param,,,**.lteNic.phy.channelModel,"xmldoc(""config_channel.xml"")",,,
CAM-0-20221110-07:01:48-17005,param,,,**.feedbackComputation,"xmldoc(""config_channel.xml"")",,,
CAM-0-20221110-07:01:48-17005,param,,,**.rbAllocationType,"""localized""",,,
CAM-0-20221110-07:01:48-17005,param,,,**.feedbackType,"""ALLBANDS""",,,
CAM-0-20221110-07:01:48-17005,param,,,**.feedbackGeneratorType,"""IDEAL""",,,
CAM-0-20221110-07:01:48-17005,param,,,**.maxHarqRtx,0,,,
CAM-0-20221110-07:01:48-17005,param,,,**.deployer.ruRange,50,,,
CAM-0-20221110-07:01:48-17005,param,,,**.deployer.ruTxPower,"""50,50,50;""",,,
CAM-0-20221110-07:01:48-17005,param,,,**.deployer.antennaCws,"""2;""",,,
CAM-0-20221110-07:01:48-17005,param,,,**.deployer.numRbDl,17,,,
CAM-0-20221110-07:01:48-17005,param,,,**.deployer.numRbUl,16,,,
CAM-0-20221110-07:01:48-17005,param,,,**.numBands,16,,,
CAM-0-20221110-07:01:48-17005,param,,,**.fbDelay,1,,,
CAM-0-20221110-07:01:48-17005,param,,,*.veinsManager.moduleType,"""lte.corenetwork.nodes.cars.CarNonIp""",,,
CAM-0-20221110-07:01:48-17005,param,,,*.veinsManager.moduleName,"""car""",,,
CAM-0-20221110-07:01:48-17005,param,,,*.veinsManager.moduleDisplayString,"""*='i=veins/node/car;is=vs'""",,,
CAM-0-20221110-07:01:48-17005,param,,,*.veinsManager.launchConfig,"xmldoc(""highway/LS_001/ls.launchd.xml"")",,,
CAM-0-20221110-07:01:48-17005,param,,,*.veinsManager.updateInterval,0.001s,,,
CAM-0-20221110-07:01:48-17005,param,,,*.veinsManager.firstStepAt,500s,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].mobilityType,"""VeinsInetMobility""",,,
CAM-0-20221110-07:01:48-17005,param,,,**.deployer.positionUpdateInterval,0.01s,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].d2dCapable,true,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].mode4D2D,true,,,
CAM-0-20221110-07:01:48-17005,param,,,**.amcMode,"""D2D""",,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].nicType,"""LteNicVUeMode4""",,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].lteNic.d2dCapable,true,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].lteNic.pdcpRrc.ipBased,false,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].lteNic.rlc.ipBased,false,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].lteNic.mac.subchannelSize,16,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].lteNic.mac.numSubchannels,1,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].lteNic.mac.probResourceKeep,0.4,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].lteNic.mac.useCBR,false,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].lteNic.mac.crLimit,false,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].lteNic.mac.rriLookup,false,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].lteNic.mac.dccMechanism,false,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].lteNic.mac.packetDropping,true,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].lteNic.mac.reselectAfter,1,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].lteNic.mac.adjacencyPSCCHPSSCH,true,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].lteNic.rlc.um.scenario3gpp,false,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].lteNic.phy.subchannelSize,16,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].lteNic.phy.numSubchannels,1,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].lteNic.phy.selectionWindowStartingSubframe,1,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].lteNic.phy.adjacencyPSCCHPSSCH,true,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].lteNic.phy.pStep,100,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].lteNic.phy.thresholdRSSI,10,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].ueTxPower,23,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].lteNic.phy.d2dTxPower,23,,,
CAM-0-20221110-07:01:48-17005,param,,,**.usePreconfiguredTxParams,true,,,
CAM-0-20221110-07:01:48-17005,param,,,**.lteNic.mac.txConfig,"xmldoc(""sidelink_configuration.xml"")",,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].veinsmobility.x,0,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].veinsmobility.y,0,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].veinsmobility.z,0,,,
CAM-0-20221110-07:01:48-17005,param,,,*.car[*].veinsmobility.setHostSpeed,true,,,
